id_number,org_size_1_99,org_size_100_499,org_size_500_999,org_size_1000_4999,org_size_greaterthan_5000,Has_Website,Number_of_Vehicles__c,Segment_E,SegmentE3,SegmentA1,SegmentA2,US_Country,CA_Country,Industry,billingstatecode,total_engagements,first_engagement_date,last_engagement_date,engagement_length_days,engagement_count_lag_1,engagement_count_lag_2,engagement_count_lag_5,engagement_count_lag_7,engagement_count_rolling_avg_7,rolling_std_7_x,rolling_median_7_x,weekly_engagement_rate,cumulative_engagement_count,days_since_last_engagement,prev_engagement_type_0,prev_engagement_type_Campaign - Mailer,prev_engagement_type_Campaign - Other,prev_engagement_type_Campaign - Referral Program,prev_engagement_type_Campaign - Webinar,prev_engagement_type_Event - Roadshow,prev_engagement_type_Field Event,prev_engagement_type_Field Marketing,prev_engagement_type_GC,prev_engagement_type_Inbound Leads,prev_engagement_type_Partners,prev_engagement_type_SB,prev_engagement_type_webpage visit from ads,prev_engagement_type_webpage visits,avg_time_between_engagements,most_common_engagement_type_Campaign - Mailer,most_common_engagement_type_Campaign - Other,most_common_engagement_type_Campaign - Referral Program,most_common_engagement_type_Campaign - Webinar,most_common_engagement_type_Field Event,most_common_engagement_type_GC,most_common_engagement_type_Inbound Leads,most_common_engagement_type_Partners,most_common_engagement_type_webpage visit from ads,most_common_engagement_type_webpage visits,total_actions,first_action_date,last_action_date,click_count,reply_count,email_interaction_length_days,action_count_lag_1,action_count_lag_2,action_count_lag_5,action_count_lag_7,action_count_rolling_avg_7,rolling_std_7_y,rolling_median_7_y,weekly_interaction_rate,cumulative_action_count,cumulative_click_count,cumulative_reply_count,days_since_last_action,avg_time_between_interactions,total_intents,first_intent_date,last_intent_date,intent_length_days,intent_count_lag_1,intent_count_lag_2,intent_count_lag_5,intent_count_lag_7,intent_count_rolling_avg_7,rolling_std_7,rolling_median_7,weekly_intent_rate,cumulative_intent_count,days_since_last_intent,prev_bucket_0,prev_bucket_Brand,prev_bucket_Competitor,prev_bucket_Compliance,prev_bucket_Industrial,prev_bucket_Procurement,prev_bucket_Safety,prev_bucket_Telematics,avg_time_between_intents,most_common_intent_Brand,most_common_intent_Competitor,most_common_intent_Compliance,most_common_intent_Industrial,most_common_intent_Procurement,most_common_intent_Safety,most_common_intent_Telematics,D&B_Score,target_met
76,0,0,0,0,0,1,17.0,0,0,0,1,1,0,WholesaleTrade,SC,2,2022-04-14,2022-12-01,231,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,115.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,231.0,0,0,0,0,0,0,0,0,1,0,3,2020-05-14 17:16:05+00:00,2020-10-12 14:29:45+00:00,0,3,150,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,67.00509770603229,75.0,21,2021-11-12,2023-11-11,729,0.9523809523809523,0.9047619047619048,0.7619047619047619,0.6666666666666666,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,11.0,34.714285714285715,1,0,0,1,0,1,1,0,36.45,0,0,0,0,1,0,0,HIGH,1
120,0,0,1,0,0,1,50.0,0,1,0,0,1,0,WholesaleTrade,MO,62,2021-05-05,2024-01-25,995,0.9838709677419355,0.967741935483871,0.9193548387096774,0.8870967741935484,0.9032258064516129,0.0,0.9032258064516129,0.9032258064516129,31.5,16.048387096774192,1,0,0,0,0,0,0,0,1,1,0,0,1,1,16.311475409836067,0,0,0,0,0,0,0,0,1,0,7,2021-10-04 19:22:01+00:00,2021-10-08 15:53:47+00:00,1,6,3,0.8571428571428571,0.7142857142857143,0.2857142857142857,0.0,1.0,0.0,1.0,1.0,4.0,0.5714285714285714,3.4285714285714284,7.573613302585265,0.3333333333333333,149,2021-03-03,2024-03-01,1094,0.9932885906040269,0.9865771812080537,0.9664429530201343,0.9530201342281879,0.959731543624161,0.0,0.959731543624161,0.959731543624161,75.0,7.342281879194631,1,1,1,1,0,1,1,1,7.391891891891892,0,0,0,0,0,1,0,HIGH,1
127,1,0,0,0,0,1,50.0,0,0,0,1,0,1,WholesaleTrade,ON,18,2021-04-26,2024-02-26,1036,0.9444444444444444,0.8888888888888888,0.7222222222222222,0.6111111111111112,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,9.5,57.55555555555556,1,0,0,0,0,0,0,0,0,0,0,0,1,0,60.94117647058823,0,0,0,0,0,0,0,0,1,0,49,2020-06-22 20:42:06+00:00,2024-03-05 13:22:36+00:00,8,41,1351,0.9795918367346939,0.9591836734693877,0.8979591836734694,0.8571428571428571,1.0,0.0,1.0,1.0,25.0,3.2653061224489797,21.73469387755102,28.30643455343055,27.833333333333332,11,2021-04-26,2023-03-03,676,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.36363636363636365,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,6.0,61.45454545454545,1,0,0,1,0,1,1,1,67.6,0,0,0,0,1,0,0,HIGH,1
156,0,0,0,0,0,1,2200.0,1,0,0,0,1,0,WholesaleTrade,VA,21,2021-04-23,2024-01-18,1000,0.9523809523809523,0.9047619047619048,0.7619047619047619,0.6666666666666666,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,11.0,47.61904761904762,1,1,0,0,0,0,1,0,0,1,0,0,1,1,50.0,0,0,0,0,0,0,0,0,1,0,8,2021-05-12 18:17:46+00:00,2024-03-06 16:42:28+00:00,0,8,1028,0.875,0.75,0.375,0.125,1.0,0.0,1.0,1.0,4.5,0.0,4.5,134.6269116397621,146.57142857142858,150,2021-02-10,2024-02-26,1111,0.9933333333333333,0.9866666666666667,0.9666666666666667,0.9533333333333334,0.96,0.0,0.96,0.96,75.5,7.406666666666666,1,0,1,1,0,1,1,1,7.456375838926174,0,0,0,0,0,1,0,HIGH,1
188,1,0,0,0,0,0,23.0,0,1,0,0,1,0,WholesaleTrade,OH,11,2021-12-17,2022-08-09,235,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.36363636363636365,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,6.0,21.363636363636363,1,0,0,0,0,0,1,0,0,0,0,0,1,1,23.5,0,0,0,0,0,0,0,0,1,0,5,2021-12-09 17:58:57+00:00,2022-03-29 15:47:42+00:00,1,4,109,0.8,0.6,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.8,2.2,31.80305862361937,27.0,1,2023-03-01,2023-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,101.44563358772535,0,0,1,0,0,0,0,HIGH,1
243,1,0,0,0,0,1,15.0,0,0,1,0,1,0,WholesaleTrade,FL,68,2021-05-14,2023-08-28,836,0.9852941176470589,0.9705882352941176,0.9264705882352942,0.8970588235294118,0.9117647058823529,0.0,0.9117647058823529,0.9117647058823529,34.5,12.294117647058824,1,1,0,0,1,0,0,0,0,1,0,0,1,1,12.477611940298507,0,0,0,0,0,0,0,0,1,0,10,2021-07-01 15:26:13+00:00,2023-03-09 19:23:40+00:00,2,8,616,0.9,0.8,0.5,0.3,1.0,0.0,1.0,1.0,5.5,1.0,4.5,66.4015293118097,68.11111111111111,1,2023-12-13,2023-12-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,101.44563358772535,0,0,0,0,0,0,1,HIGH,1
260,1,0,0,0,0,1,21.0,0,0,1,0,1,0,WholesaleTrade,NJ,5,2022-09-29,2023-04-27,210,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,52.5,0,0,0,0,0,0,0,0,1,0,14,2021-03-19 14:01:42+00:00,2023-08-18 17:32:39+00:00,5,9,882,0.9285714285714286,0.8571428571428571,0.6428571428571429,0.5,1.0,0.0,1.0,1.0,7.5,2.642857142857143,4.857142857142857,66.3582352227212,67.53846153846153,11,2021-10-26,2024-03-01,857,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.36363636363636365,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,6.0,77.9090909090909,1,0,0,1,0,1,1,0,85.7,0,0,0,0,0,1,0,HIGH,1
274,1,0,0,0,0,0,50.0,0,0,0,1,1,0,WholesaleTrade,IA,410,2021-06-02,2023-11-10,891,0.9975609756097561,0.9951219512195122,0.9878048780487805,0.9829268292682927,0.9853658536585366,0.0,0.9853658536585366,0.9853658536585366,205.5,2.1731707317073172,1,0,1,1,1,0,0,0,0,1,0,0,1,1,2.1784841075794623,0,0,0,0,0,0,0,0,1,0,35,2022-03-28 17:04:35+00:00,2023-10-24 20:10:22+00:00,21,14,575,0.9714285714285714,0.9428571428571428,0.8571428571428571,0.8,1.0,0.0,1.0,1.0,18.0,8.942857142857143,9.057142857142857,17.371865517659913,16.38235294117647,56,2021-02-16,2024-01-23,1071,0.9821428571428571,0.9642857142857143,0.9107142857142857,0.875,0.8928571428571429,0.0,0.8928571428571429,0.8928571428571429,28.5,19.125,1,0,1,1,0,1,1,1,19.472727272727273,0,0,0,0,0,1,0,HIGH,1
310,1,0,0,0,0,1,213.0,0,1,0,0,1,0,WholesaleTrade,LA,439,2021-11-16,2024-03-06,841,0.9977220956719818,0.9954441913439636,0.9886104783599089,0.9840546697038725,0.9863325740318907,0.0,0.9863325740318907,0.9863325740318907,220.0,1.9157175398633257,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1.9200913242009132,0,0,0,0,0,0,0,0,1,0,66,2021-03-19 15:48:47+00:00,2023-07-26 18:02:35+00:00,1,65,859,0.9848484848484849,0.9696969696969697,0.9242424242424242,0.8939393939393939,1.0,0.0,1.0,1.0,33.5,0.18181818181818182,33.31818181818182,13.394171107849953,12.815384615384616,3,2021-07-08,2023-05-22,683,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,227.66666666666666,1,0,0,0,0,0,1,0,341.5,0,0,0,0,0,1,0,HIGH,1
312,0,0,0,0,0,1,127.0,0,0,0,1,1,0,WholesaleTrade,IL,76,2021-05-29,2024-01-23,969,0.9868421052631579,0.9736842105263158,0.9342105263157895,0.9078947368421053,0.9210526315789473,0.0,0.9210526315789473,0.9210526315789473,38.5,12.75,1,0,0,0,1,0,0,0,0,0,0,0,1,1,12.92,0,0,0,0,0,0,0,0,1,0,37,2022-03-01 23:41:52+00:00,2023-12-04 15:22:07+00:00,3,34,642,0.972972972972973,0.9459459459459459,0.8648648648648649,0.8108108108108109,1.0,0.0,1.0,1.0,19.0,0.9459459459459459,18.054054054054053,18.29771062481343,17.38888888888889,298,2021-01-31,2024-03-02,1126,0.9966442953020134,0.9932885906040269,0.9832214765100671,0.9765100671140939,0.9798657718120806,0.0,0.9798657718120806,0.9798657718120806,149.5,3.778523489932886,1,1,1,1,0,1,1,1,3.791245791245791,0,0,0,0,1,0,0,HIGH,1
